,STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYSunrise,DAILYSunset
0,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 5:51,FM-15,OVC:08 18,10,-SN:03 |SN:71 |,29,-1.7,26,-3.2,21,-6.1,72,13,240,23,28.84,,,30.18,T,30.12,744,0
1,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 6:51,FM-15,OVC:08 18,10,-SN:03 |SN:71 |,30,-1.1,27,-2.7,22,-5.6,72,9,240,,28.85,5,,30.19,T,30.13,744,0
2,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 7:00,FM-12,15,,0,30,-1.1,27,-2.7,22,-5.6,72,9,240,,28.88,5,0.03,30.19,,,744,2.5
3,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 7:19,FM-16,OVC:08 18,10,0,30,-1.1,27,-2.7,22,-5.6,72,10,260,21,28.85,,,,T,30.13,744,3
4,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 7:51,FM-15,OVC:08 20,10,0,30,-1.1,27,-2.7,22,-5.6,72,10,250,25,28.86,,,30.2,T,30.14,744,3
5,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 8:51,FM-15,OVC:08 20,10,-SN:03 |SN:71 |,30,-1.1,27,-2.9,21,-6.1,69,15,250,21,28.85,,,30.2,T,30.13,744,0
6,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 9:51,FM-15,BKN:07 28 OVC:08 37,10,0,31,-0.6,27,-2.7,19,-7.2,61,22,280,30,28.86,1,,30.2,T,30.14,744,3.5
7,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 10:00,FM-12,26,,0,31,-0.6,27,-2.7,19,-7.2,61,22,280,,28.89,1,-0.01,30.2,,,744,2
8,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 10:06,FM-16,SCT:04 28 BKN:07 37,10,0,31,-0.6,27,-2.8,18,-7.8,59,15,270,29,28.86,,,,,30.14,744,3.5
9,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 10:51,FM-15,FEW:02 32 BKN:07 45 BKN:07 150,10,0,31,-0.6,27,-3,16,-8.9,54,14,270,28,28.86,,,30.2,0,30.14,744,2.5
10,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 11:51,FM-15,SCT:04 28 BKN:07 40,10,0,32,0,28,-2.3,19,-7.2,59,17,260,23,28.83,,,30.17,T,30.11,744,3.5
11,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 12:51,FM-15,FEW:02 30 BKN:07 41,10,0,34,1.1,29,-1.7,17,-8.3,50,10,250,28,28.79,8,,30.14,0,30.07,744,2.5
12,WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 13:00,FM-12,26,,0,34,1.1,29,-1.7,17,-8.3,50,10,250,,28.82,8,0.06,30.14,,,744,2
