STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYSunrise,DAILYSunset
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 0:51,FM-15,OVC:08 18,10,,30,-1.1,27,-2.7,22,-5.6,72,7,240,,28.88,8,,30.24,0,30.17,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 1:00,FM-12,15,,,30,-1.1,27,-2.7,22,-5.6,72,7,240,,28.92,8,0.03,30.24,,,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 1:51,FM-15,OVC:08 20,10,,30,-1.1,27,-2.9,21,-6.1,69,10,270,,28.88,,,30.23,0,30.17,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 2:51,FM-15,OVC:08 18,10,,30,-1.1,27,-2.9,21,-6.1,69,11,280,,28.88,,,30.23,0,30.17,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 3:51,FM-15,OVC:08 19,10,,29,-1.7,26,-3.2,21,-6.1,72,11,270,,28.87,8,,30.22,0,30.16,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 4:00,FM-12,15,,,29,-1.7,26,-3.2,21,-6.1,72,11,270,,28.91,8,0.01,30.22,,,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 4:51,FM-15,OVC:08 18,10,,29,-1.7,26,-3.2,21,-6.1,72,11,240,,28.85,,,30.19,0,30.13,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 5:51,FM-15,OVC:08 18,10,-SN:03 |SN:71 |,29,-1.7,26,-3.2,21,-6.1,72,13,240,23,28.84,,,30.18,T,30.12,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 6:51,FM-15,OVC:08 18,10,-SN:03 |SN:71 |,30,-1.1,27,-2.7,22,-5.6,72,9,240,,28.85,5,,30.19,T,30.13,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 7:00,FM-12,15,,,30,-1.1,27,-2.7,22,-5.6,72,9,240,,28.88,5,0.03,30.19,,,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 7:19,FM-16,OVC:08 18,10,,30,-1.1,27,-2.7,22,-5.6,72,10,260,21,28.85,,,,T,30.13,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 7:51,FM-15,OVC:08 20,10,,30,-1.1,27,-2.7,22,-5.6,72,10,250,25,28.86,,,30.2,T,30.14,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 8:51,FM-15,OVC:08 20,10,-SN:03 |SN:71 |,30,-1.1,27,-2.9,21,-6.1,69,15,250,21,28.85,,,30.2,T,30.13,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 9:51,FM-15,BKN:07 28 OVC:08 37,10,,31,-0.6,27,-2.7,19,-7.2,61,22,280,30,28.86,1,,30.2,T,30.14,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 10:00,FM-12,26,,,31,-0.6,27,-2.7,19,-7.2,61,22,280,,28.89,1,-0.01,30.2,,,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 10:06,FM-16,SCT:04 28 BKN:07 37,10,,31,-0.6,27,-2.8,18,-7.8,59,15,270,29,28.86,,,,,30.14,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 10:51,FM-15,FEW:02 32 BKN:07 45 BKN:07 150,10,,31,-0.6,27,-3,16,-8.9,54,14,270,28,28.86,,,30.2,0,30.14,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 11:51,FM-15,SCT:04 28 BKN:07 40,10,,32,0,28,-2.3,19,-7.2,59,17,260,23,28.83,,,30.17,T,30.11,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 12:51,FM-15,FEW:02 30 BKN:07 41,10,,34,1.1,29,-1.7,17,-8.3,50,10,250,28,28.79,8,,30.14,0,30.07,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 13:00,FM-12,26,,,34,1.1,29,-1.7,17,-8.3,50,10,250,,28.82,8,0.06,30.14,,,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 13:51,FM-15,BKN:07 39,10,,33,0.6,28,-2.1,17,-8.3,52,14,250,23,28.78,,,30.12,0,30.06,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 14:51,FM-15,BKN:07 39 BKN:07 47,10,,35,1.7,30,-1.2,18,-7.8,50,11,270,20,28.77,,,30.12,0,30.05,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 15:51,FM-15,BKN:07 43 BKN:07 55,10,,34,1.1,29,-1.7,16,-8.9,48,15,260,22,28.79,5,,30.13,0,30.07,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 16:00,FM-12,41,,,34,1.1,29,-1.7,16,-8.9,48,15,260,,28.82,5,0.01,30.13,,,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 16:51,FM-15,BKN:07 44 BKN:07 55,10,,33,0.6,28,-2.2,16,-8.9,49,10,260,24,28.8,,,30.14,0,30.08,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 17:51,FM-15,BKN:07 44,10,,32,0,27,-2.6,16,-8.9,52,13,250,18,28.8,,,30.14,0,30.08,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 18:51,FM-15,BKN:07 40,10,,32,0,27,-2.5,17,-8.3,54,14,260,21,28.81,3,,30.16,0,30.09,744,1705
WBAN:94823,PITTSBURGH ASOS PA US,366.7,40.4846,-80.2144,1/1/2016 19:00,FM-12,41,,,32,0,27,-2.5,17,-8.3,54,14,260,,28.84,3,-0.03,30.16,,,744,1706
