date,score
1/1/2016,2.62962963
1/2/2016,3.6
1/3/2016,2.016666667
1/4/2016,2.453125
1/5/2016,4.854166667
1/6/2016,4.083333333
1/7/2016,4.47826087
1/8/2016,2.191176471
1/9/2016,3.458333333
1/10/2016,1
1/11/2016,3.36
1/12/2016,0.486111111
1/13/2016,2.826923077
1/14/2016,3.6
1/15/2016,3.04
1/16/2016,1.481481481
1/17/2016,1.014285714
1/18/2016,1.259259259
1/19/2016,4.041666667
1/20/2016,1.685185185
1/21/2016,1.693548387
1/22/2016,0.892857143
1/23/2016,2.396551724
1/24/2016,3.37037037
1/25/2016,3.145833333
1/26/2016,2.538461538
1/27/2016,2.944444444
1/28/2016,3.333333333
1/29/2016,1.838235294
1/30/2016,3.791666667
1/31/2016,3.104166667
2/1/2016,3.1
2/2/2016,3.625
2/3/2016,2.64516129
2/4/2016,2.448275862
2/5/2016,3.107142857
2/6/2016,4
2/7/2016,3.729166667
2/8/2016,2.451612903
2/9/2016,-0.176470588
2/10/2016,0.458333333
2/11/2016,2.653846154
2/12/2016,1.428571429
2/13/2016,1.764705882
2/14/2016,3.456521739
2/15/2016,0.540540541
2/16/2016,0.432432432
2/17/2016,1.223684211
2/18/2016,4.238095238
2/19/2016,2.9375
2/20/2016,4.666666667
2/21/2016,3.583333333
2/22/2016,4.041666667
2/23/2016,3.208333333
2/24/2016,1.96875
2/25/2016,0.851351351
2/26/2016,1.965517241
2/27/2016,3.384615385
2/28/2016,4.5625
2/29/2016,2.862068966
3/1/2016,2.888888889
3/2/2016,1.576923077
3/3/2016,2.232142857
3/4/2016,2.140625
3/5/2016,2.392857143
3/6/2016,2.884615385
3/7/2016,3.25
3/8/2016,3.229166667
3/9/2016,3.416666667
3/10/2016,1.589285714
3/11/2016,3.206896552
3/12/2016,3
3/13/2016,1.892857143
3/14/2016,2.517241379
3/15/2016,2.409090909
3/16/2016,3.625
3/17/2016,3.229166667
3/18/2016,3.645833333
3/19/2016,2.288461538
3/20/2016,0.583333333
3/21/2016,3.519230769
3/22/2016,3.522727273
3/23/2016,3.304347826
3/24/2016,2.458333333
3/25/2016,2.833333333
3/26/2016,4.166666667
3/27/2016,3.520833333
3/28/2016,2.810344828
3/29/2016,3.961538462
3/30/2016,3.833333333
3/31/2016,3.041666667
4/1/2016,2.913793103
4/2/2016,2.080645161
4/3/2016,3.645833333
4/4/2016,2.327586207
4/5/2016,4.395833333
4/6/2016,3.25
4/7/2016,1.909090909
4/8/2016,2.203703704
4/9/2016,1.458333333
4/10/2016,2.979166667
4/11/2016,1.620689655
4/12/2016,4
4/13/2016,3.895833333
4/14/2016,4.979166667
4/15/2016,5
4/16/2016,5
4/17/2016,5
4/18/2016,4.020833333
4/19/2016,3.916666667
4/20/2016,4.208333333
4/21/2016,3.458333333
4/22/2016,2.586206897
4/23/2016,3.703703704
4/24/2016,4.270833333
4/25/2016,3.229166667
4/26/2016,2.82
4/27/2016,3.107142857
4/28/2016,0.703125
4/29/2016,1.833333333
4/30/2016,2.274193548
