STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYSunrise,DAILYSunset
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 0:28,FM-16,BKN:07 22 BKN:07 240,10,,54,12,50,9.9,46,8,77,6,30,,29.3,,,,,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 0:52,FM-15,BKN:07 22 OVC:08 220,10,,53,11.7,49,9.3,45,7.2,74,5,30,,29.3,1,,30.11,0,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 1:00,FM-12,26,,,53,11.7,49,9.3,45,7.2,74,5,30,,29.34,1,-0.01,30.11,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 1:09,FM-16,SCT:04 24 OVC:08 220,10,,54,12,49,9.6,45,7,72,5,40,,29.3,,,,,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 1:52,FM-15,OVC:08 220,10,,52,11.1,48,8.8,44,6.7,75,6,40,,29.3,,,30.11,0,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 2:20,FM-16,BKN:07 28 OVC:08 230,10,,52,11,47,8.6,43,6,72,5,40,,29.3,,,,,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 2:52,FM-15,BKN:07 28 OVC:08 210,10,,52,11.1,47,8.6,43,6.1,72,5,30,,29.32,,,30.13,0,30.14,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 3:33,FM-16,SCT:04 28 SCT:04 40 OVC:08 200,10,,52,11,47,8.6,43,6,72,5,30,,29.3,,,,,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 3:52,FM-15,FEW:02 28 BKN:07 40 OVC:08 200,10,,51,10.6,47,8.1,42,5.6,71,6,30,,29.3,8,,30.12,0,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 4:00,FM-12,26,,,51,10.6,47,8.1,42,5.6,71,6,30,,29.34,8,0,30.12,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 4:52,FM-15,BKN:07 36 OVC:08 200,10,,51,10.6,46,7.9,41,5,69,5,40,,29.3,,,30.12,0,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 5:52,FM-15,SCT:04 44 OVC:08 180,10,,50,10,45,7.4,40,4.4,68,3,50,,29.31,,,30.12,0,30.13,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 6:52,FM-15,BKN:07 31 OVC:08 190,10,,50,10,46,7.8,42,5.6,74,0,0,,29.33,3,,30.14,0,30.15,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 7:00,FM-12,26,,,50,10,46,7.8,42,5.6,74,0,0,,29.37,3,-0.03,30.14,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 7:52,FM-15,BKN:07 33 OVC:08 200,10,,50,10,45,7.4,40,4.4,68,5,60,,29.34,,,30.16,0,30.16,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 8:52,FM-15,SCT:04 35 BKN:07 46,10,,50,10,45,7.2,39,3.9,66,7,40,,29.36,,,30.17,0,30.18,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 9:52,FM-15,BKN:07 38 BKN:07 50,10,,51,10.6,45,7.4,38,3.3,61,7,50,,29.37,3,,30.19,0,30.19,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 10:00,FM-12,41,,,51,10.6,45,7.4,38,3.3,61,7,50,,29.42,3,-0.04,30.19,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 10:52,FM-15,BKN:07 50 BKN:07 250,10,,51,10.6,45,7.4,38,3.3,61,7,30,,29.38,,,30.19,0,30.2,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 11:52,FM-15,SCT:04 50 BKN:07 200,10,,53,11.7,46,7.9,36,2.2,52,5,360,,29.35,,,30.17,0,30.17,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 12:52,FM-15,SCT:04 43 OVC:08 180,10,,55,12.8,48,8.9,38,3.3,53,7,30,,29.32,8,,30.14,0,30.14,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 13:00,FM-12,41,,,55,12.8,48,8.9,38,3.3,53,7,30,,29.37,8,0.06,30.14,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 13:52,FM-15,SCT:04 49 BKN:07 150 BKN:07 200,10,,55,12.8,48,8.8,37,2.8,51,5,10,,29.3,,,30.12,0,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 14:52,FM-15,SCT:04 50 BKN:07 110 OVC:08 200,10,,55,12.8,48,8.8,37,2.8,51,0,0,,29.3,,,30.11,0,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 15:52,FM-15,FEW:02 45 BKN:07 110 OVC:08 200,10,,54,12.2,47,8.4,37,2.8,53,5,330,,29.31,5,,30.12,0,30.13,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 16:00,FM-12,41,,,54,12.2,47,8.4,37,2.8,53,5,330,,29.36,5,0.01,30.12,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 16:52,FM-15,OVC:08 140,10,,53,11.7,47,8.1,38,3.3,57,0,0,,29.3,,,30.12,0,30.12,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 17:52,FM-15,BKN:07 200,10,,49,9.4,45,7.5,42,5.6,77,0,0,,29.31,,,30.13,0,30.13,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 18:52,FM-15,BKN:07 160 OVC:08 250,10,,51,10.6,45,7.2,37,2.8,59,0,0,,29.33,3,,30.15,0,30.15,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 19:00,FM-12,,,,51,10.6,45,7.2,37,2.8,59,0,0,,29.37,3,-0.03,30.15,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 19:52,FM-15,OVC:08 200,10,,48,8.9,44,6.7,40,4.4,74,0,0,,29.34,,,30.16,0,30.16,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 20:52,FM-15,BKN:07 250,10,,47,8.3,44,6.6,41,5,80,3,330,,29.35,,,30.17,0,30.17,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 21:52,FM-15,BKN:07 250,10,,45,7.2,41,5.2,37,2.8,74,7,350,,29.36,2,,30.18,0,30.18,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 22:00,FM-12,,,,45,7.2,41,5.2,37,2.8,74,7,350,,29.4,2,-0.02,30.18,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 22:52,FM-15,SCT:04 250,10,,43,6.1,38,3.2,29,-1.7,58,5,330,,29.39,,,30.21,0,30.21,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 23:52,FM-15,BKN:07 250,10,,43,6.1,37,2.8,25,-3.9,49,7,340,,29.38,,,30.2,0,30.2,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/1/2016 23:59,SOD,,,,,,,,,,,,,,,,,,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 0:52,FM-15,BKN:07 250,10,,42,5.6,36,2.3,24,-4.4,49,5,350,,29.38,0,,30.19,0,30.2,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 1:00,FM-12,,,,42,5.6,36,2.3,24,-4.4,49,5,350,,29.42,,0.02,30.19,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 1:52,FM-15,BKN:07 250,10,,41,5,35,1.9,24,-4.4,51,6,330,,29.37,,,30.19,0,30.19,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 2:52,FM-15,BKN:07 250,10,,40,4.4,35,1.8,27,-2.8,60,3,320,,29.37,,,30.19,0,30.19,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 3:52,FM-15,SCT:04 250,10,,38,3.3,33,0.8,25,-3.9,60,3,320,,29.37,6,,30.19,0,30.19,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 4:00,FM-12,,,,38,3.3,33,0.8,25,-3.9,60,3,320,,29.42,6,0.01,30.19,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 4:52,FM-15,FEW:02 250,10,,36,2.2,32,-0.3,23,-5,59,6,340,,29.37,,,30.2,0,30.19,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 5:52,FM-15,CLR:00,10,,32,0,29,-1.8,23,-5,69,7,10,,29.39,,,30.22,0,30.21,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 6:52,FM-15,FEW:02 250,10,,34,1.1,30,-0.9,24,-4.4,67,5,300,,29.39,0,,30.21,0,30.21,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 7:00,FM-12,,,,34,1.1,30,-0.9,24,-4.4,67,5,300,,29.43,,0.02,30.21,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 7:52,FM-15,SCT:04 250,10,,32,0,29,-1.7,24,-4.4,73,5,330,,29.41,,,30.23,0,30.23,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 8:52,FM-15,FEW:02 250,10,,37,2.8,32,0.2,24,-4.4,59,6,320,,29.42,,,30.26,0,30.25,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 9:52,FM-15,FEW:02 250,10,,42,5.6,36,2.3,24,-4.4,49,6,360,,29.42,1,,30.26,0,30.25,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 10:00,FM-12,,,,42,5.6,36,2.3,24,-4.4,49,6,360,,29.47,1,-0.05,30.26,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 10:52,FM-15,FEW:02 250,10,,46,7.8,39,4.1,23,-5,40,5,VRB,,29.42,,,30.26,0,30.25,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 11:52,FM-15,FEW:02 250,10,,48,8.9,41,5,23,-5,37,3,290,,29.42,,,30.24,0,30.24,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 12:52,FM-15,SCT:04 250,10,,50,10,43,6,22,-5.6,33,5,240,,29.36,8,,30.19,0,30.18,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 13:00,FM-12,,,,50,10,43,6,22,-5.6,33,5,240,,29.4,8,0.07,30.19,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 13:52,FM-15,SCT:04 250,10,,50,10,43,6.2,19,-7.2,29,5,250,,29.34,,,30.16,0,30.16,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 14:52,FM-15,SCT:04 250,10,,49,9.4,42,5.5,23,-5,36,8,190,,29.32,,,30.14,0,30.14,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 15:52,FM-15,BKN:07 250,10,,50,10,43,6,23,-5,35,8,220,,29.32,6,,30.14,0,30.14,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 16:00,FM-12,,,,50,10,43,6,23,-5,35,8,220,,29.37,6,0.05,30.14,,,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 16:52,FM-15,SCT:04 250,10,,47,8.3,40,4.6,25,-3.9,42,3,280,,29.32,,,30.14,0,30.14,733,1723
WBAN:13881,CHARLOTTE DOUGLAS AIRPORT NC US,221.9,35.2236,-80.9552,1/2/2016 17:52,FM-15,SCT:04 250,10,,45,7.2,39,3.7,26,-3.3,48,3,230,,29.31,,,30.15,0,30.13,733,1723
